Country	Latitude	Longitude	Culture_Hint
Afghanistan	33.9391	67.71	Known for the ancient Buddhas of Bamiyan and the blue-tiled Friday Mosque.
Albania	41.1533	20.1683	Famous for its unique 'Besa' code of honor and Ottoman-era architecture.
Algeria	28.0339	1.6596	Home to the vast Sahara Desert and the ancient Roman ruins of Timgad.
Andorra	42.5063	1.5218	A small co-principality in the Pyrenees known for ski resorts and duty-free shopping.
Angola	-11.2027	17.8739	Known for its Portuguese-influenced cuisine and the Kizomba dance style.
Antigua and Barbuda	17.0608	-61.7964	Famous for having 365 distinct beaches—one for every day of the year.
Argentina	-38.4161	-63.6167	The birthplace of Tango and world-famous for its high-quality beef and asado.
Armenia	40.0691	45.0382	Known for being the first nation to adopt Christianity and for its ancient monasteries.
Australia	-25.2744	133.7751	Home to the Great Barrier Reef, the Outback, and the iconic Sydney Opera House.
Austria	47.5162	14.5501	The land of classical music (Mozart, Strauss) and Alpine landscapes.
Azerbaijan	40.1431	47.5769	Known as the 'Land of Fire' due to its naturally burning gas vents like Yanar Dag.
Bahamas	25.0343	-77.3963	Famous for its crystal clear turquoise waters and the swimming pigs of Exuma.
Bahrain	26.0667	50.5577	An island nation known for the 'Tree of Life' and its ancient Dilmun civilization.
Bangladesh	23.685	90.3563	Home to the Sundarbans, the world's largest mangrove forest and the Royal Bengal Tiger.
Barbados	13.1939	-59.5432	The birthplace of Rihanna and famous for its Crop Over festival.
Belarus	53.7098	27.9534	Known for its Stalinist architecture in Minsk and the Białowieża Forest.
Belgium	50.5039	4.4699	Famous for its chocolate, waffles, fries, and medieval towns like Bruges.
Belize	17.1899	-88.4976	Home to the Great Blue Hole and significant ancient Mayan ruins.
Benin	9.3077	2.3158	The birthplace of the Vodun (Voodoo) religion.
Bhutan	27.5142	90.4336	Known for measuring 'Gross National Happiness' and the Tiger’s Nest monastery.
Bolivia	-16.2902	-63.5887	Home to Salar de Uyuni, the world’s largest salt flat.
Bosnia and Herzegovina	43.9159	17.6791	Famous for the historic Stari Most (Old Bridge) in Mostar.
Botswana	-22.3285	24.6849	Home to the Okavango Delta, one of the world's premier wildlife destinations.
Brazil	-14.235	-51.9253	Famous for the Amazon Rainforest, Carnival in Rio, and Samba music.
Brunei	4.5353	114.7277	A sultanate known for the opulent Jame' 'Asr Hassanil Bolkiah mosque.
Bulgaria	42.7339	25.4858	Famous for its rose oil production and ancient Cyrillic alphabet origins.
Burkina Faso	12.2383	-1.5616	Host of FESPACO, the largest African film festival.
Burundi	-3.3731	29.9189	Known for its traditional 'Royal Drummers' of Gishora.
Cabo Verde	16.002	-24.0131	An archipelago known for Morna music, popularized by Cesária Évora.
Cambodia	12.5657	104.991	Home to Angkor Wat, the largest religious monument in the world.
Cameroon	7.3697	12.3547	Known as 'Africa in Miniature' for its diverse terrain and cultures.
Canada	56.1304	-106.3468	Famous for maple syrup, ice hockey, and vast wilderness landscapes.
Central African Republic	6.6111	20.9394	Known for the Dzanga-Sangha National Park and its forest elephants.
Chad	15.4542	18.7322	Home to the Ennedi Massif with its unique rock formations and cave paintings.
Chile	-35.6751	-71.543	A long, narrow country home to the Atacama Desert and Easter Island.
China	35.8617	104.1954	Known for the Great Wall, the Forbidden City, and its ancient tea culture.
Colombia	4.5709	-74.2973	Famous for high-quality coffee and the Legend of El Dorado.
Comoros	-11.6455	43.3333	Known as the 'Perfume Islands' for its production of ylang-ylang.
Congo	-0.228	15.8277	Known for the Odzala-Kokoua National Park and its lowland gorillas.
Costa Rica	9.7489	-83.7534	Famous for its 'Pura Vida' lifestyle and incredible biodiversity.
Croatia	45.1	15.2	Known for its stunning Adriatic coastline and the walled city of Dubrovnik.
Cuba	21.5218	-77.7812	Famous for vintage cars, cigars, and Salsa music.
Cyprus	35.1264	33.4299	Legendary birthplace of Aphrodite, the Greek goddess of love.
Czechia	49.8175	15.473	Known for the historic city of Prague and having the highest beer consumption per capita.
Denmark	56.2639	9.5018	Home to LEGO and the fairytale writer Hans Christian Andersen.
Djibouti	11.8251	42.5903	Home to Lake Assal, the lowest point in Africa and highly saline.
Dominica	15.415	-61.371	Known as the 'Nature Isle of the Caribbean' for its lush rainforests.
Dominican Republic	18.7357	-70.1627	Famous for Merengue music and beautiful Caribbean resorts.
Ecuador	-1.8312	-78.1834	Named after the Equator and home to the unique wildlife of the Galápagos Islands.
Egypt	26.8206	30.8025	Famous for the Great Pyramids of Giza and the Nile River.
El Salvador	13.7942	-88.8965	Known as the 'Land of Volcanoes' and for its delicious pupusas.
Equatorial Guinea	1.6508	10.2679	The only country in Africa where Spanish is an official language.
Eritrea	15.1794	39.7823	Known for its Italian colonial-era architecture in the capital, Asmara.
Estonia	58.5953	25.0136	A digital society known for its medieval capital, Tallinn.
Eswatini	-26.5225	31.4659	Known for its colorful Umhlanga (Reed Dance) festival.
Ethiopia	9.145	40.4897	The birthplace of coffee and home to the rock-hewn churches of Lalibela.
Fiji	-17.7134	178.065	An archipelago famous for soft coral diving and the Kava ceremony.
Finland	61.9241	25.7482	Known as the 'Land of a Thousand Lakes' and the home of Santa Claus.
